Protein.Name	Gene.Name	Uniprot.ID	Pvalue.protein	FDR.protein
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	Gnb2	E9QKR0;P62880;D3Z1M1;D3Z1T4;D3YZX3;P29387;E9PWM7	0.024993549	0.309142431
Zinc-alpha-2-glycoprotein	Azgp1	Q64726	0.02494441	0.309142431
SH3 and PX domain-containing protein 2A	Sh3pxd2a	O89032;O89032-2;O89032-3	0.010885619	0.315638889
DnaJ homolog subfamily B member 1	Dnajb1	Q9QYJ3;Q3TYL7	0.011173058	0.315638889
Kynureninase	Kynu	A2ARD6;Q9CXF0;Q6NSV5;Q3V3G5;A2ARD7;Q8R0F7	0.025749859	0.315691003
Spectrin beta chain, erythrocyte	Spnb1;Sptb	Q3UGX2;E9Q397;E9Q5I4;P15508;Q149M1	0.02602937	0.316921332
Endothelial differentiation-related factor 1	Edf1	Q9JMG1	0.026077968	0.316921332
Ras-related protein Rab-7a	Rab7a	P51150	0.026290479	0.317147162
Probable ATP-dependent RNA helicase DDX5	Ddx5	Q8BTS0;Q61656;B1ARB9;B1ARC0;B1ARB8	0.026324468	0.317147162
Peroxisomal membrane protein 4	Pxmp4	Q9JJW0;A2AKD6	0.026440186	0.317168266
Cytochrome P450 4B1	Cyp4b1	Q64462;F8WGW5;F6X6A4;Q6A152;A2A9Y7	0.015471847	0.3177546
Hydroxysteroid dehydrogenase-like protein 2	Hsdl2	Q2TPA8;B1AX78;E9Q4I4;E9PYC8;B1AX77	0.026721882	0.319171664
[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 2, mitochondrial	Pdk2	Q9JK42	0.026872964	0.319604525
Gamma-aminobutyric acid receptor-associated protein-like 1	Gabarapl1	Q8R3R8	0.005058342	0.321710551
Max-like protein X	Mlx	A2BFB0;O08609;A2BFB1;O08609-3;A2BFB2;O08609-2	0.028320685	0.322132272
Gamma-aminobutyric acid receptor-associated protein	Gabarap	Q9DCD6;B1AR50	0.028499104	0.322132272
Dynactin subunit 1	Dctn1	E9Q586;O08788;E9Q3M3;O08788-2;D3YX34;D3YYG9;D3Z2M9	0.028706002	0.322132272
	Hnrnpl	G5E924;E9Q8W8;G3UY56;G3UYY3	0.028501318	0.322132272
Programmed cell death protein 2	Pdcd2	P46718;A2T4N6	0.028605183	0.322132272
Cytochrome P450 2C37	Cyp2c37	P56654;E9PW41;Q148B1;Q5GLZ0	0.028337038	0.322132272
Isoleucine--tRNA ligase, cytoplasmic	Iars	Q8BU30;F6Q6R1;E9Q866	0.028589998	0.322132272
EF-hand domain-containing protein D2	Efhd2	Q8C845;Q9D8Y0;Q9D4J1	0.027302309	0.322132272
Hydroxyacid-oxoacid transhydrogenase, mitochondrial	Adhfe1	Q8R0N6;Q8R0N6-2	0.027621362	0.322132272
Eukaryotic initiation factor 4A-III	Eif4a3;Gm8994;Gm5576	Q91VC3;A2AFK7;D3YU49;E9PV04	0.02814054	0.322132272
3-ketoacyl-CoA thiolase A, peroxisomal	Acaa1a	Q921H8;Q8BLD7	0.028559852	0.322132272
Threonine--tRNA ligase, cytoplasmic	Tars	Q9D0R2	0.027368862	0.322132272
SAP domain-containing ribonucleoprotein	Sarnp	Q9D1J3	0.028345374	0.322132272
UPF0160 protein MYG1, mitochondrial	Myg1	Q9JK81;F8WGG3;F7A3N3	0.028083684	0.322132272
Murinoglobulin-2	Mug2	P28666	0.029253151	0.325647168
Peptidyl-prolyl cis-trans isomerase FKBP2	Fkbp2	P45878	0.029253249	0.325647168
Junction plakoglobin	Jup	Q02257	0.029635133	0.326501846
	Ces2a	Q8QZR3;E9Q3D0	0.029463931	0.326501846
Prolargin	Prelp	Q9JK53	0.029681986	0.326501846
Immunoglobulin J chain	Igj	P01592;E9PWK4	0.030104478	0.327268603
Histone-binding protein RBBP4	Rbbp4	E9PYH8;Q60972	0.030000291	0.327268603
Dynactin subunit 2	Dctn2	Q99KJ8	0.029943465	0.327268603
E3 ubiquitin-protein ligase RNF169	Rnf169	E9Q7F2	0.029080531	0.327816895
Polyadenylate-binding protein 2	Pabpn1;Gm20521	G3UY42;Q8CCS6;Q8CCS6-2;D3Z5F7;G3UWS5;D3Z055;D3YUB9;G3UX74;G3UWY6	0.025484304	0.327816895
COMM domain-containing protein 2	Commd2	Q8BXC6;G3X955	0.022195276	0.327816895
Sodium-coupled neutral amino acid transporter 4	Slc38a4	Q8R1S9;E9Q0N5	0.027463675	0.327816895
Carboxypeptidase D	Cpd	O89001	0.006321974	0.328742648
Matrin-3	Matr3	Q6ZQ61;Q8K310	0.030450114	0.329738005
Arsenite methyltransferase	As3mt	Q91WU5	0.030715562	0.331323291
Phosphomevalonate kinase	Pmvk	Q9D1G2;D3YXP6;Q9D1G2-2;Q9D1G2-3	0.031382581	0.333569764
UDP-glucuronosyltransferase 1-1	Ugt1a1	Q63886	0.031261145	0.333569764
Selenocysteine-specific elongation factor	Eefsec	Q9JHW4;F8WHS9	0.031296152	0.333569764
DnaJ homolog subfamily C member 7	Dnajc7	Q9QYI3;F7BTP8;A2A5E1	0.031403262	0.333569764
Retinol dehydrogenase 10	Rdh10	Q8VCH7	0.008066482	0.335565651
Activated RNA polymerase II transcriptional coactivator p15	Sub1	P11031	0.032141033	0.339556581
Starch-binding domain-containing protein 1	Stbd1	Q8C7E7;Q147V6	0.032210901	0.339556581
Keratin, type I cytoskeletal 19	Krt19	CON__P19001;P19001	0.033800634	0.34082306
Pleiotropic regulator 1	Plrg1	Q922V4;D3Z4V1;F8WI31	0.03264777	0.34082306
SEC23-interacting protein	Sec23ip	G3X928;Q6NZC7	0.033766754	0.34082306
Fibronectin;Anastellin	Fn1	G5E8B8;G5E8M2;G3X9J7;P11276	0.033617514	0.34082306
Thiopurine S-methyltransferase	Tpmt	O55060;D3Z380;D3YWK6;D3Z217;D6RIK3	0.032925471	0.34082306
Heterogeneous nuclear ribonucleoprotein H2	Hnrnph2	P70333	0.033144203	0.34082306
Putative adenosylhomocysteinase 2	Ahcyl1	Q80SW1;D3Z2Q0;F7ATQ6	0.033297869	0.34082306
Presequence protease, mitochondrial	Pitrm1	Q8K411;Q8K411-2;Q8K411-3	0.032694948	0.34082306
Protein transport protein Sec23B	Sec23b	Q9D662;Q3U2Q0;A2ANA0;A2AN99;A2AN98;A2AN97	0.033648964	0.34082306
Acyl-coenzyme A thioesterase 12	Acot12	Q9DBK0	0.033342681	0.34082306
Neutral ceramidase;Neutral ceramidase soluble form	Asah2	Q9JHE3	0.033748489	0.34082306
Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial	Aadat	Q9WVM8;Q3UNS8	0.033343138	0.34082306
60 kDa lysophospholipase;L-asparaginase;Platelet-activating factor acetylhydrolase	Aspg	A0JNU3	0.034833286	0.341341672
	Naglu	A2BFA6	0.034691295	0.341341672
	Mgam	B5THE2	0.034116214	0.341341672
NADP-dependent malic enzyme;Malic enzyme	Me1	P06801;Q3TQP6	0.034540708	0.341341672
Thyroid hormone receptor-associated protein 3	Thrap3	Q569Z6;Q8BZN7;F6YSQ2;F6YH92	0.034765392	0.341341672
Prolow-density lipoprotein receptor-related protein 1;Low-density lipoprotein receptor-related protein 1 85 kDa subunit;Low-density lipoprotein receptor-related protein 1 515 kDa subunit;Low-density lipoprotein receptor-related protein 1 intracellular domain	Lrp1	Q91ZX7;Q3U5J2;D3Z5M3;Q91VN0;O88572;F6UAC8	0.034644628	0.341341672
Epoxide hydrolase 1	Ephx1	Q9D379;E9PWK1;F6YTS6;D3Z4M3	0.034773006	0.341341672
ATP synthase subunit delta, mitochondrial	Atp5d	Q9D3D9;D3Z7S4	0.03413805	0.341341672
Cullin-2	Cul2	Q9D4H8;Q9D4H8-2;E0CYT5	0.035783286	0.349420649
Breast carcinoma-amplified sequence 3 homolog	Bcas3	B1AR74;Q8CCN5;Q0VF62;Q3TAC0;F7C0F2;Q8CCN5-2;F7CPM1;B1AR76;B1B0B3	0.035698878	0.349883058
CLIP-associating protein 1	Clasp1	E9QKH0;Q80TV8;E9QNY9;Q80TV8-2;E9Q6L0	0.037155723	0.349883058
Muscleblind-like protein 2	Mbnl2	F8WIF1;Q8C181-2;Q8C181-4;Q8C181;Q8C181-3	0.032685503	0.349883058
Vacuolar protein sorting-associated protein 16 homolog	Vps16	G3X8X7;Q920Q4;Q920Q4-2;E9Q2I5;A2BI90	0.03171992	0.349883058
Cystatin-C	Cst3	P21460;A2APX3	0.036175253	0.349883058
Folylpolyglutamate synthase, mitochondrial	Fpgs	P48760-3;P48760;P48760-4;P48760-5;P48760-2	0.020675542	0.349883058
Plastin-1	Pls1	Q3V0K9;D3Z6J7	0.036777622	0.349883058
Acyl-coenzyme A thioesterase 11	Acot11	Q8VHQ9;A2AVR6;Q8CAL6;E0CXP8;E0CYA0;E0CYS0;Q3TBG4;F6SS52	0.016897003	0.349883058
Carbonic anhydrase 2	Ca2	P00920	0.036327023	0.351913442
Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain	Ctsb	P10605	0.03641792	0.351913442
Alpha-soluble NSF attachment protein	Napa	Q9DB05;P28663	0.036371896	0.351913442
Transcription elongation factor B polypeptide 3	Tceb3	Q8CB77	0.012347988	0.352849198
Pleckstrin homology domain-containing family O member 2	Plekho2	Q8K124	0.013571123	0.352849198
	BC089597	Q8K3M1;Q5FW69	0.012725937	0.352849198
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform;Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform	Ppp2ca;Ppp2cb	P63330;P62715	0.037060493	0.353045608
Protein FAM83H	Fam83h	Q148V8	0.036953421	0.353045608
Thimet oligopeptidase	Thop1	Q8C1A5	0.037382156	0.353045608
Canalicular multispecific organic anion transporter 1	Abcc2	Q8VI47	0.036923294	0.353045608
Reticulon-4-interacting protein 1, mitochondrial	Rtn4ip1	Q924D0;D3Z792	0.037676804	0.353045608
Adaptin ear-binding coat-associated protein 1	Necap1	Q9CR95	0.036752489	0.353045608
Sodium-coupled neutral amino acid transporter 3	Slc38a3	Q9DCP2	0.037285909	0.353045608
Alpha-N-acetylgalactosaminidase	Naga	Q9QWR8	0.037656837	0.353045608
Nuclear pore complex protein Nup160	Nup160	Q9Z0W3;Q9Z0W3-2	0.037516511	0.353045608
DDRGK domain-containing protein 1	Ddrgk1	Q80WW9	0.019396395	0.354467189
RNA-binding protein 33	Rbm33	Q9CXK9;D3Z5I9;F6Y0Q7	0.016679056	0.355819861
Alpha-1-antitrypsin 1-1	Serpina1a	P07758;D3YZL0	0.011386612	0.355819861
E3 ubiquitin-protein ligase UBR3	Ubr3	Q5U430;F6QC57;Q5U430-3;Q5U430-2;A2AV05	0.008938244	0.355819861
Vitamin K-dependent gamma-carboxylase	Ggcx	Q9QYC7	0.015844552	0.355819861
Phosphatidylinositol 3-kinase catalytic subunit type 3	Pik3c3	Q6PF93;E9QLS6;Q6PF93-2;D3YZ98	0.039521173	0.358323738
Thioredoxin-related transmembrane protein 2	Tmx2	Q9D710;D3Z2J6;D3YYX0	0.043533845	0.358323738
Junction-mediating and -regulatory protein	Jmy	Q9QXM1;E9PZF6;Q9QXM1-3	0.046235321	0.358323738
RWD domain-containing protein 4	Rwdd4	Q9CPR1	0.04501382	0.358323738
DnaJ homolog subfamily A member 4	Dnaja4	Q9JMC3	0.043280463	0.358323738
	Nav2	E9Q842;D3YWD2;F6Q9M5;Q8BYE8	0.020698099	0.359629473
	1110020G09Rik	Q8C5H8-3;Q8C5H8-2;Q14BL1;Q8C5H8-4	0.049475796	0.360882277
NAD-dependent protein deacetylase sirtuin-3	Sirt3	Q8R104;D3YVQ5	0.039862225	0.371025325
Elongation factor 1-gamma	Eef1g	Q9D8N0	0.039836883	0.371025325
Cytoskeleton-associated protein 5	Ckap5	A2AGT5;A2AGT5-3;A2AGT5-2	0.040452716	0.37401963
Structural maintenance of chromosomes protein 3	Smc3	E9Q762;Q9CW03	0.040436095	0.37401963
Cytochrome P450 3A25	Cyp3a25	O09158;D6RJM4;D3Z707	0.010344587	0.375255034
Disco-interacting protein 2 homolog B	Dip2b	Q3UH60;D3Z5G8;Q3UH60-2;B2RQC7	0.005364203	0.375255034
Amine oxidase [flavin-containing] A	Maoa	Q64133	0.041064218	0.376130215
26S proteasome non-ATPase regulatory subunit 11	Psmd11	Q8BG32;G3UYH2;G3UXL5;G3UWW7;G3UYL3;G3UYI4;G3UZ33;G3UX15;G3UYL8;G3UWV7;G3UX67	0.041215306	0.376130215
Protein FAM25C	Fam25c	Q8CF02	0.041221601	0.376130215
Splicing factor 3B subunit 5	Sf3b5	Q923D4	0.040848543	0.376130215
FGGY carbohydrate kinase domain-containing protein	Fggy	A2AJL3;A2AJL4;A2AJL3-2;B7ZCH9;F6V664;B1AY72;D6RHR3;B1AY71;F7ANG8;D6RG41	0.041357047	0.376132882
All-trans-retinol 13,14-reductase	Retsat	Q64FW2;F7CW61	0.041917663	0.378756026
Phosphatidylinositol-binding clathrin assembly protein	Picalm	Q7M6Y3-5;Q7M6Y3;Q7M6Y3-6;Q7M6Y3-3;Q7M6Y3-2;Q7M6Y3-4;Q61548;Q61548-2;E9QLK9;Q61548-3;E9QQ05;E9Q9A3;Q3TWS4;Q8BQA2	0.041818599	0.378756026
Phosphatase and actin regulator 4	Phactr4	Q501J7-3;Q501J7;Q501J7-2;F6QNZ3;G5E8P7;Q2M3X8-3;Q2M3X8;Q2M3X8-2;B1B1B8;F7BZR2	0.042141041	0.379542127
Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	Mgat1	P27808	0.026803307	0.381202588
LIM domain-containing protein 2	Limd2	Q8BGB5	0.024710988	0.381202588
Estradiol 17-beta-dehydrogenase 12	Hsd17b12	O70503;O70503-2	0.043048567	0.383679887
Protein disulfide-isomerase	P4hb	P09103;E9Q8G8	0.043151924	0.383679887
Tubulin alpha-4A chain	Tuba4a	P68368	0.042808835	0.383679887
Biotinidase	Btd	Q8CIF4	0.042909546	0.383679887
mRNA turnover protein 4 homolog	Mrto4	Q9D0I8;A2AMV1	0.056642545	0.383729029
Transmembrane 6 superfamily member 2	Tm6sf2	E9QM19;Q8R1J1;E9QAI2;Q8R1J1-2	0.05879719	0.383729029
Phosphatidylethanolamine N-methyltransferase	Pemt	Q3UZN8;D3YV85;Q61907;Q8R0I1;B1ARD1	0.043658697	0.386463306
Collagen alpha-1(XIV) chain	Col14a1	Q80X19;B7ZNH7;Q80X19-2;F7D5Y4	0.046311193	0.386463306
Multiple coagulation factor deficiency protein 2 homolog	Mcfd2	Q8K5B2;D3Z1G3;D3Z6A4	0.046721406	0.386463306
Coiled-coil domain-containing protein 93	Ccdc93	Q7TQK5;E9QAD4	0.045344841	0.386463306
5-AMP-activated protein kinase subunit gamma-1	Prkag1	O54950	0.044755314	0.386463306
Alpha-synuclein	Snca	O55042;O55042-2	0.04473919	0.386463306
H-2 class I histocompatibility antigen, Q10 alpha chain	H2-Q10	P01898;D3Z577	0.04707548	0.386463306
Methylmalonyl-CoA mutase, mitochondrial	Mut	P16332	0.044926952	0.386463306
Carbonic anhydrase 5A, mitochondrial	Ca5a	P23589	0.046930553	0.386463306
60S ribosomal protein L6	Rpl6;Gm5428;Gm6807	P47911;E9PUX4;D3Z4I7	0.046058654	0.386463306
Protein phosphatase 1A	Ppm1a	P49443;Q9EQE3;Q9EQE2	0.045439448	0.386463306
cAMP-regulated phosphoprotein 19	Arpp19	E9Q827;P56212;P56212-2;E9Q4B9;E9PXD7	0.044748936	0.386463306
Enhancer of rudimentary homolog	Erh	G3UW85;P84089	0.043813074	0.386463306
Cullin-4A	Cul4a	Q3TCH7;E9PXT5;F6UV36	0.046562038	0.386463306
Carbonic anhydrase 1	Car1;Ca1	Q3TS19;P13634;D3YYQ4	0.045802418	0.386463306
Reelin	Reln	Q60841;Q60841-2;Q60841-3	0.045573323	0.386463306
Serine/threonine-protein kinase PAK 2;PAK-2p27;PAK-2p34	Pak2	Q8CIN4;B1GX81;B1GX80;Q61036;Q61036-2;O88643;G5E884;A3KGC5;A3KGC4;A3KGC3	0.046191481	0.386463306
UDP-glucose 4-epimerase	Gale	Q8R059;B1AV54;B1AV53	0.046807003	0.386463306
MKI67 FHA domain-interacting nucleolar phosphoprotein	Mki67ip	Q91VE6;Q91VE6-2;E0CXU3	0.044697544	0.386463306
Peptidyl-prolyl cis-trans isomerase D	Ppid	Q9CR16;E9Q5D3	0.04579546	0.386463306
Transmembrane emp24 domain-containing protein 10	Tmed10	Q9D1D4;Q9D1D4-2	0.045175668	0.386463306
Acetoacetyl-CoA synthetase	Aacs	Q9D2R0	0.045484562	0.386463306
AP-2 complex subunit beta	Ap2b1	Q9DBG3-2;Q9DBG3;Q5SWR0	0.046944289	0.386463306
PDZ domain-containing protein GIPC1	Gipc1	Q9Z0G0	0.044199971	0.386463306
Valine--tRNA ligase	Vars	Q9Z1Q9;G3UY93;G3UZ22;G3UYW2;G3UX02;G3UZX1	0.046506921	0.386463306
C4b-binding protein	C4bpa;C4bp	P08607;F6QLW4;E9PUZ8	0.047333612	0.386527075
Coiled-coil domain-containing protein 22	Ccdc22	Q9JIG7	0.047361025	0.386527075
	Tstd1	E9PY03	0.044564095	0.387364826
Hepcidin	Hamp	Q9EQ21	0.025997801	0.389640517
Heme oxygenase 1	Hmox1	P14901;E9Q8W7	0.008627647	0.391941678
Mid1-interacting protein 1	Mid1ip1	Q9CQ20;F6XIS3;F7D5Q6	0.008427528	0.391941678
Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase;UDP-N-acetylglucosamine 2-epimerase;N-acetylmannosamine kinase	Gne	Q3UW64;Q91WG8;G3UX23;G3UYD5;G3UZ98;F6WD11;G3UWV5;F6SHH4;F7BWW0;G3UX49	0.048463404	0.39434228
von Willebrand factor A domain-containing protein 5A	Vwa5a	Q99KC8;F6TIL5;Q8BGF0;Q6P8K4;D3Z671;D3Z518	0.048602013	0.39434228
Heterogeneous nuclear ribonucleoprotein D0	Hnrnpd	Q60668;G3X9W0;Q60668-2;Q60668-3;G5E8G0;Q60668-4;F6ZV59;E9Q5B6;F6SHF3;F7A465	0.04883554	0.395085197
Major urinary protein 3	Mup3	Q3KQQ2;P04939;Q80YX8;P11590	0.049111771	0.395280942
Choline dehydrogenase, mitochondrial	Chdh	Q8BJ64;F8WIG7;F6RSP9	0.049330093	0.395280942
Probable leucine--tRNA ligase, mitochondrial	Lars2	Q8VDC0	0.049427872	0.395280942
Granulins;Acrogranin;Granulin-1;Granulin-2;Granulin-3;Granulin-4;Granulin-5;Granulin-6;Granulin-7	Grn	Q3U9N4;P28798	0.052533796	0.395754597
Protein syndesmos	Nudt16l1	Q8VHN8;Q8VHN8-2;Q8VHN8-3	0.0521237	0.395754597
Tropomyosin alpha-4 chain	Tpm4	Q6IRU2	0.049753098	0.396741753
Brain-specific angiogenesis inhibitor 1-associated protein 2	Baiap2	B1AZ46;Q8BKX1;Q8BKX1-2;Q8BKX1-3;Q8BKX1-4	0.050032054	0.397152106
Propionyl-CoA carboxylase beta chain, mitochondrial	Pccb	Q99MN9;E9Q1J7;E9Q5K5;D3YZC1	0.050089971	0.397152106
Bis(5-adenosyl)-triphosphatase	Fhit	E9PZ91;O89106;E9PVU9;F6SV10;E9Q3M6	0.050645254	0.39755491
Tight junction protein ZO-1	Tjp1	P39447	0.050435109	0.39755491
Tubulin beta-4B chain	Tubb4b	P68372;G3UZR1	0.050944794	0.39755491
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	Ndufa12	Q7TMF3;F6RBR6	0.050901807	0.39755491
Protein ERGIC-53	Lman1	Q9D0F3;D3Z5B9	0.050324608	0.39755491
Selenoprotein O	Selo;1300018J18Rik	Q9DBC0;A4FUU9	0.050997881	0.39755491
Protein FAM73B	Fam73b	Q8BK03;Q8BK03-2;F6V3Z9;A2AWJ1	0.028190537	0.397612039
AP-1 complex subunit mu-1	Ap1m1	P35585;Q9WVP1-2	0.05119006	0.397938371
	Srsf6	Q3TWW8	0.051614361	0.399593909
Thioredoxin domain-containing protein 12	Txndc12	Q9CQU0	0.051690193	0.399593909
Ubiquitin-like domain-containing CTD phosphatase 1	Ublcp1	Q8BGR9;Q8BGR9-2	0.052027574	0.39997994
	Ces1f	Q91WU0;D3Z2I6;D3Z298	0.051987206	0.39997994
Acyl-CoA desaturase 1;Acyl-CoA desaturase 2	Scd1;Scd3;Scd2	P13516;Q99PL7;P13011;Q8BNZ5;Q6T707	0.008836237	0.402048784
Aldehyde dehydrogenase;Fatty aldehyde dehydrogenase	Aldh3a2	B1ATI0;B1AV77;P47740;Q8C5J1;B1ATI7;P47739	0.05312888	0.403087225
Asialoglycoprotein receptor 1	Asgr1	P34927;Q91Y84;B1AR34;B1AR32	0.053144357	0.403087225
SAM domain and HD domain-containing protein 1	Samhd1	F8WJE0;E9Q0K6;F6TVP2;Q60710;E9PYG9;Q6ZQM3;E0CXZ5	0.052826504	0.403087225
Cytochrome P450 3A13	Cyp3a13	Q64464	0.053155951	0.403087225
Glutathione S-transferase kappa 1	Gstk1	Q9DCM2	0.052789915	0.403087225
Peroxiredoxin-4	Prdx4	O08807;B1AZS9	0.053983709	0.403181537
Peroxisomal targeting signal 2 receptor	Pex7	P97865;B7ZNK8;F6QU40	0.053541549	0.403181537
Thioesterase superfamily member 4	Them4	Q3UUI3;Q3UUI3-2	0.053817108	0.403181537
Probable ATP-dependent RNA helicase DDX58	Ddx58	Q6Q899;E9Q0T5;A2AP29;Q6Q899-2;Q6Q899-3;Q6Q899-4	0.054182499	0.403181537
Citrate lyase subunit beta-like protein, mitochondrial	Clybl	Q8R4N0;E9PYU7	0.053434764	0.403181537
Hemopexin	Hpx	Q91X72	0.054013646	0.403181537
Protein canopy homolog 2	Cnpy2	Q9QXT0	0.054147574	0.403181537
Heme oxygenase 2	Hmox2	O70252;D3YX62;D3YXN4;D3Z4A2	0.054509598	0.404533897
Arylsulfatase B	Arsb	P50429;P50429-2	0.054876412	0.405095636
NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form	Cyb5r3	Q9DCN2;Q9DCN2-2;F2Z456;E9Q841;F2Z3V0	0.054845303	0.405095636
Dehydrogenase/reductase SDR family member 4	Dhrs4	G3X8V7;Q99LB2	0.055339021	0.40566908
Cathepsin D	Ctsd	Q8C243;P18242;F6Y6L6;F8WIR1;Q05BF3	0.055218231	0.40566908
Protein transport protein Sec61 subunit alpha isoform 1	Sec61a1	P61620;Q9JLR1;Q9CYJ6;A2ATT9	0.055682594	0.40566908
Macrophage mannose receptor 1	Mrc1	Q61830	0.055681766	0.40566908
	Cyp2d22	Q9JKY7	0.055682928	0.40566908
Peroxiredoxin-2	Prdx2	Q61171;D3Z4A4	0.056240036	0.408658016
Bile salt export pump	Abcb11	Q9QY30	0.056491371	0.409415327
Histone H1.4	Hist1h1e	P43274;Q07133	0.056687551	0.409770012
Proteasome subunit beta type	Psmb5	D3Z2T2	0.057299049	0.409931243
Coatomer subunit epsilon	Cope	O89079;D3Z315;F6YFR7;E9Q6I5;F6XIG5	0.05717068	0.409931243
Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;Serine/threonine-protein phosphatase	Ppp1ca	P62137;Q3TYF5	0.057040929	0.409931243
Glycine N-acyltransferase-like protein Keg1	Keg1	Q9DCY0;D3Z4V9;D3Z1F5	0.057262947	0.409931243
Treacle protein	Tcof1	O08784;E9PYV2;Q05CS0;F8WIZ3	0.05782528	0.411917601
Pyridoxal-dependent decarboxylase domain-containing protein 1	Pdxdc1	E9Q8P7;Q99K01-2;Q99K01-4;Q99K01;Q99K01-3;E9PZ98;Q99K01-5;D3YZA7	0.058086089	0.411917601
ATP-binding cassette sub-family D member 3	Abcd3	P55096	0.058168745	0.411917601
Splicing factor 45	Rbm17	Q8JZX4;A2AP40	0.058157452	0.411917601
Histone H2A.Z;Histone H2A.V;Histone H2A	H2afz;H2afv	P0C0S6;Q3THW5;Q5NC91;Q8R029;Q3UA95;G3UWL7	0.058818152	0.413360902
Histone H2B;Histone H2B type 1-F/J/L;Histone H2B type 1-M;Histone H2B type 1-B;Histone H2B type 1-H;Histone H2B type 2-B;Histone H2B type 1-C/E/G;Histone H2B type 1-K;Histone H2B type 1-P	Gm13646;Hist1h2bf;Hist1h2bm;Hist1h2bb;Hist1h2bh;Hist2h2bb;Hist1h2bc;Hist1h2bk;Hist1h2bp	Q8CGP2-2;Q921L4;Q8CBB6;P10853;P10854;Q64475;Q64478;Q64525;Q6ZWY9;Q8CGP1;Q8CGP2;G3X9D5;P70696	0.058682532	0.413360902
Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	Mccc2	Q3ULD5;Q6PD20;F6ZNH0;Q8K1L7	0.058724859	0.413360902
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3	Alkbh3	A2AKV6;Q8K1E6;A2AKV7	0.059080181	0.413361556
Syntaxin-binding protein 3	Stxbp3	Q60770;Q60770-2;E9Q6R9;A2AEC9	0.059115307	0.413361556
Glutathione peroxidase 3;Glutathione peroxidase	Gpx3	P46412;D3Z2Y7;D3Z7Y0;F2Z3Y2;E9QK84	0.059526029	0.414152347
Nuclear factor 1 B-type;Nuclear factor 1	Nfib	P97863;P97863-2;F8WHI4;P97863-3;F8WIX3	0.059453523	0.414152347
Phytanoyl-CoA dioxygenase, peroxisomal	Phyh	O35386	0.05996964	0.416198275
Macrophage migration inhibitory factor	Mif	P34884	0.060257487	0.416595122
Coatomer subunit zeta-1	Copz1	P61924;Q8R3M1	0.060326207	0.416595122
Leucine-rich repeat-containing protein 59	Lrrc59	Q922Q8;Q3TF84	0.060561661	0.417102675
Myosin-14	Myh14	B3F3T1;Q6URW6;Q6URW6-2;D3Z5V8	0.06117265	0.418288661
Protein tyrosine phosphatase type IVA 1	Ptp4a1	Q63739	0.061062312	0.418288661
Hemoglobin subunit alpha	Hba-a1;Hba-a2;Hba	Q91VB8;F7CAE1;P01942	0.061696563	0.418794141
Synapse-associated protein 1	Syap1	Q9D5V6	0.061597854	0.418794141
Hydroxyacid oxidase 1	Hao1	Q9WU19	0.061698023	0.418794141
Glutamate--cysteine ligase catalytic subunit	Gclc	P97494	0.062265406	0.419282397
Lipoma-preferred partner homolog	Lpp	Q8BFW7;Q8BFW7-4;Q8BFW7-5;Q8BFW7-2;Q8BFW7-3	0.062012577	0.419282397
TIP41-like protein	Tiprl	Q8BH58	0.062372588	0.419282397
cAMP-dependent protein kinase type I-alpha regulatory subunit	Prkar1a	Q3TYK4;Q9DBC7;E9Q276;A2AI69;P12849;D3Z0V6;D3Z068;D3YTM5;D3Z4L4	0.062208401	0.419282397
Phospholipase DDHD2	Ddhd2	Q80Y98;E9QPZ7;Q80Y98-2;Q80Y98-3	0.033495671	0.420172115
Ryanodine receptor 3	Ryr3	E9PW34;A2AGL3;A2AGL3-2	0.063094149	0.421372019
Alpha-mannosidase 2C1	Man2c1	Q91W89;F8WIE1;E9PZ88;E9PYM7;F6TFL1;E0CYW2;F6U7S0;E0CXI0;E0CXM6;E0CZB0;E0CYR8	0.063150673	0.421372019
X-ray repair cross-complementing protein 5	Xrcc5	P27641	0.063289078	0.421372019
Cell division cycle protein 123 homolog	Cdc123	Q8CII2;Q8CII2-2	0.063020088	0.421372019
Methylglutaconyl-CoA hydratase, mitochondrial	Auh	Q9JLZ3;F6RT60;F6R307;Q9JLZ3-3;E9QMT1;Q9JLZ3-2;E9Q6L3	0.06374816	0.423415583
Vesicle-associated membrane protein-associated protein B	Vapb	Q8BH80;Q9QY76	0.063981022	0.423950439
Vesicle-associated membrane protein 8	Vamp8	O70404	0.064324416	0.42521342
