Protein.Name	Gene.Name	Uniprot.ID	mRNA.ID	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
NADPH--cytochrome P450 reductase	Por	P37040;Q05DV1;E9Q997;E9PVT9;F6R7H8	1416933_at	0.261552077	0.11623844	0.351810697	-0.008486889	0.044419367	0.029323013	0.263836767	0.299027693	0.436978578	0.441320926	0.37250522	0.005116201	-0.160274831	0.095327088	0.289756706	0.157029211
NADPH:adrenodoxin oxidoreductase, mitochondrial	Fdxr	Q61578	1416806_at	0.180102965	0.244924425	0.273221087	0.340038918	0.278513592	0.337867435	0.320630253	0.258269847	0.152516143	0.306359163	0.296031109	0.350191428	0.380408571	0.336099817	0.349125175	0.311864412
Beta-2-glycoprotein 1	Apoh	Q01339	1416677_at	-0.063364879	-0.371056968	-0.290306435	-0.292310588	-0.221320307	-0.156267163	-0.235236889	-0.081612323	-0.088141597	-0.358508792	-0.406101238	-0.528671329	-0.412944073	-0.020911066	-0.222309979	-0.094100916
Apolipoprotein A-I;Truncated apolipoprotein A-I	Apoa1	Q8BPD5;Q00623;CON__P15497	1438840_x_at	-0.308127844	-0.564622052	-0.628353671	-0.586692697	-0.398459827	-0.130535557	-0.398131432	-0.196481149	-0.270349529	-0.488823464	-0.586596629	-0.54399072	-0.615227944	-0.180147861	-0.457751869	-0.334110568
Liprin-beta-1	Ppfibp1	Q8C8U0-3;Q8C8U0;Q8C8U0-2;F7CUU8;F6S1C4	1452759_s_at	-0.444349024	-0.337996464	-0.562572145	-0.333881659	-0.173639164	-0.240131118	-0.274530045	-0.179383654	-0.203890227	-0.545671894	-0.400865778	-0.257493448	0.057631883	-0.115699153	-0.083519749	-0.328606717
GTP-binding protein SAR1b	Sar1b	Q9CQC9	1428163_at	0.046593199	-0.048375705	-0.029841557	-0.073134705	-0.182819402	0.033274231	-0.02446153	-0.003026483	0.094710722	0.066714419	0.000288568	-0.019630756	-0.152767519	-0.151858817	0.064404476	0.064208376
DnaJ homolog subfamily A member 1	Dnaja1	P63037;B1AXY1;B1AXY0;B1AXX9	1416288_at	-0.070938821	-0.007913082	-0.033933911	-0.187007567	-0.291014101	0.130839262	0.041224126	0.106140796	-0.00992041	0.075672038	-0.16079114	-0.240375394	-0.211386062	-0.101515615	0.126092331	-0.000576963
GMP synthase [glutamine-hydrolyzing]	Gmps	Q3THK7	1433567_at	0.056881331	-0.032947164	-0.134746655	-0.025879273	-0.043764442	0.021247905	0.029691139	-0.039699918	-0.094776557	-0.146264195	-0.196229326	-0.064469017	-0.003890027	0.030309804	0.075428797	-0.059355278
Beta-hexosaminidase subunit alpha	Hexa	P29416;E9PW67	1449024_a_at	-0.046560906	-0.035483152	0.077726022	0.01922886	0.312580923	0.01792822	0.14539787	-0.126708602	-0.100843124	-0.047119549	0.030427674	0.226948908	0.21841367	0.208927779	0.126643498	0.184801688
Signal transducer and transcription activator 6	Stat6	P52633	1421708_a_at	0.406330711	0.358010133	0.347802647	0.418022154	0.504059293	0.563454346	0.346041159	0.223963409	0.216149461	0.210796599	0.334552651	0.607330877	0.436002373	0.440263476	0.536000964	0.139140468
	Sorbs2	Q3UTJ2-2;D3Z080;Q3UTJ2-5;B2RXQ9;F7BEU1;F6V513	1437197_at	0.338888902	0.259720017	0.197318728	0.273587269	0.332480231	0.393046168	0.268347524	0.247576801	0.198096385	0.140984615	0.090649304	0.192381295	0.352915787	0.324057641	0.385356109	0.235297165
Epsin-1	Epn1	Q80VP1-2;Q80VP1;D3Z4V3;D3Z550	1427039_at	0.110760111	0.052161815	0.032787116	0.06833207	0.12337108	0.177571677	0.203867439	-0.042924445	-0.008343459	0.04586326	0.044002841	-0.007769594	0.17948198	0.255201675	0.185506998	0.072164213
Small nuclear ribonucleoprotein Sm D3	Snrpd3	P62320	1422885_at	-0.262553427	-0.24902051	-0.314638527	-0.317535622	-0.15924166	-0.188907267	-0.190425227	-0.231923873	-0.276079728	-0.276794405	-0.380286156	-0.275603079	-0.157302466	-0.272381578	-0.17951105	-0.184089827
Na(+)/H(+) exchange regulatory cofactor NHE-RF1	Slc9a3r1	P70441;P70441-2	1438115_a_at	0.119134272	0.238697704	0.102124541	0.109996982	0.181280302	0.368755996	0.194261802	0.214943334	0.172538646	0.17716382	0.092693968	0.091002685	0.256045634	0.279809106	0.31423025	0.232701153
DNA topoisomerase 2-beta	Top2b	Q64511;F6V2E8;F6XX57;F6U5K2	1416731_at	0.052101983	0.545739864	0.348078074	0.411943833	0.526306587	0.462495186	0.125116495	0.150609162	0.022932603	-0.039980598	0.374280638	0.930600288	0.306394844	-0.05088474	-0.279887255	-0.146133829
Nucleophosmin	Npm1	Q61937;Q5SQB0;Q5SQB5;Q9DAY9;E9Q5T3	1432416_a_at	-0.048096653	0.056281171	-0.222309979	-0.133826527	-0.042644337	0.1231668	-0.030689204	0.073362899	-0.071488106	-0.036608829	-0.165558254	-0.220949004	-0.048654702	0.01055577	0.0195213	0.017212637
Complement factor I;Complement factor I heavy chain;Complement factor I light chain	Cfi	Q61129	1418724_at	0.218212263	-0.074231394	-0.136191386	-0.199248307	-0.277984747	0.273691909	0.158783639	0.14185982	0.146275757	-0.141563582	-0.176450439	-0.220701417	-0.117960953	0.127084583	-0.016638942	-0.08011186
Carboxylesterase 1D	Ces1d	Q8VCT4	1435370_a_at	0.12689553	-0.02672925	0.045342101	-0.120750053	-0.099093179	-0.117296086	-0.028710586	0.029720594	0.068725418	-0.019630756	-0.11209958	-0.200504353	-0.204140717	-0.13395801	0.054901749	-0.137896932
Tubulin alpha-1C chain	Tuba1c	P68373	1448232_x_at	-0.127765328	-0.135140816	-0.154194325	-0.143524033	-0.120617361	-0.151599082	-0.208891775	-0.225028083	-0.178619043	-0.143524033	-0.16774328	-0.124725152	-0.144829521	-0.214622201	-0.218471211	-0.193834811
	Sf3b2	Q3UJB0	1459836_x_at	-0.166072676	-0.150299708	-0.290778251	-0.185359135	-0.09963185	-0.122076304	-0.16491497	-0.136322654	-0.197865391	-0.150689643	-0.262312878	-0.150689643	-0.102993993	-0.068326861	0.024854095	-0.087327052
Peroxisomal carnitine O-octanoyltransferase	Crot	Q9DC50	1450966_at	-0.452806263	0.017884398	-0.021763974	-0.035483152	0.248073594	-0.051302489	-0.25011268	-0.354790649	-0.130799111	0.064615689	-0.044603951	0.403503694	0.064600601	0.232446893	-0.057831475	-0.105678078
Rap guanine nucleotide exchange factor 4	Rapgef4	E9Q145;Q9EQZ6;A2ASW8;Q9EQZ6-2	1421622_a_at	0.695395507	1.03842112	0.926728164	0.854700792	1.041565605	0.832590686	1.025147677	0.733387343	0.687915738	0.560557709	0.891910508	1.12560433	1.285846818	1.11932231	0.987302616	0.72716459
Microfibril-associated glycoprotein 4	Mfap4	Q9D1H9;Q9D1H9-2	1424010_at	-0.351854439	-0.375400929	-0.655992884	-0.311851831	-0.128689329	0.035667913	-0.052276765	-0.230203013	-0.301119353	-0.288299495	-0.368265483	-0.521050737	-0.521050737	-0.211012193	-0.204766751	0.138790982
CD302 antigen	Cd302	Q9DCG2;Q9DCG2-2	1448919_at	0.404324487	0.025984716	0.049860102	-0.110363243	0.144090012	0.158976918	0.391531368	0.282210633	0.294190146	0.198592982	-0.043624477	0.199901504	0.048516644	0.454051394	0.29581857	0.164997605
Afamin	Afm	E9Q826;O89020-3;O89020;O89020-2;CON__REFSEQ:XP_585019	1427561_a_at	-0.5360529	-0.713079899	-0.722728309	-0.593784005	-0.542901856	-0.346758372	-0.42234066	-0.019630756	-0.280837569	-0.327227468	-0.70372089	-0.416731671	-0.715893371	-0.10191896	-0.252900029	-0.251325232
Atlastin-2	Atl2	Q6PA06;Q8BYP9;E9QND8;Q6PA06-2	1416793_at	0.000375149	-0.096531743	0.241543307	-0.215740713	-0.352984458	-0.056583528	-0.09895848	0.084777421	0.166777951	0.141987166	0.049486794	-0.239520247	-0.247684513	-0.137241192	-0.248899107	-0.053111336
	Ythdf2	E9Q2W5;Q91YT7;E9PW90	1460357_at	0.234227653	0.266558883	0.234838705	0.297165178	-0.031536353	0.075109605	0.143675573	0.349143552	0.319243575	0.34488635	0.234906616	0.19917256	0.075672038	0.085068153	1.44e-05	-0.032524066
	Acacb	E9Q4Z2;D3Z0B3	1427052_at	-0.69483563	-0.47529245	-0.621055503	-0.488720653	-0.82984956	-0.904195048	-1.044883678	-0.64099104	-0.84967907	-0.599508236	-0.857662572	-0.464354604	-0.977609645	-0.954568571	-1.08011186	-0.781737388
Cytochrome b5	Cyb5a;Cyb5	P56395;G5E850;E0CY88	1416727_a_at	0.419622931	0.278146158	0.444497935	0.192199972	0.171092253	0.292934683	0.337083584	0.290180032	0.468471314	0.396346359	0.516800764	0.258407896	-0.02446153	0.14138237	0.218329747	0.24879339
Eukaryotic translation initiation factor 1;Eukaryotic translation initiation factor 1b	Eif1;Gm6900;Gm16378;Eif1b	P48024;G3UW42;D3YXK8;Q9CXU9	1428272_at	0.161863067	0.242942607	0.233854359	0.112287581	-0.268194823	0.407095722	0.405527887	0.431734358	0.196475361	-0.038436182	0.004464829	-0.009633819	-0.175301034	0.28431745	0.371273057	0.457831115
Phosphoglycolate phosphatase	Pgp	Q8CHP8	1428788_at	-0.109427427	-0.087327052	-0.103262627	-0.148738913	-0.179383654	-0.175301034	-0.120617361	-0.063502942	-0.129612738	-0.118625514	-0.188654118	-0.161565256	-0.160145725	-0.08827731	-0.069289713	-0.040120917
Inositol monophosphatase 1	Impa1	Q924B0;O55023;Q80ZJ2;D3Z703	1423127_at	0.108969732	0.052131899	0.007159074	0.074410669	0.128771402	0.167895836	0.058202563	0.154987748	-0.027720258	0.037413962	0.015505435	0.147569618	0.114800512	0.144058128	0.197831604	0.103332893
Mitochondrial-processing peptidase subunit beta	Pmpcb	Q9CXT8;D3Z1T9	1429709_at	-0.063502942	0.043303944	-0.005184376	-0.000721167	0.014659878	-0.012068023	-0.047538389	-0.085696581	-0.099497201	-0.01235413	-0.064331046	0.054587066	0.047099905	0.065415564	-0.09963185	-0.074505436
Probable methylthioribulose-1-phosphate dehydratase	Apip	Q9WVQ5	1418254_at	-0.260989139	-0.253989266	-0.18142064	-0.189539944	-0.176705738	-0.109293689	-0.176578094	-0.217106608	-0.280243696	-0.32308179	-0.348232419	-0.188654118	-0.250961574	-0.12763328	-0.196229326	-0.312200463
Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	Ppip5k2	E9Q9J4;Q6ZQB6;Q6ZQB6-3;Q6ZQB6-2;E9PZI4;A2ARP1;A2ARP1-2;A2ARP1-3;A2ARP1-7;A2ARP1-6	1433856_at	-0.015497569	0.236384465	0.554252112	0.334097918	0.192035153	0.144839493	-0.152767519	0.210980274	-0.047119549	0.060622953	0.330646624	0.250714605	0.115284871	0.111726282	0.109358756	0.00528995
	Gltscr2	Q8BK35	1423803_s_at	-0.051441711	NA	NA	NA	-0.515611539	NA	-0.09328973	NA	NA	NA	-0.470614952	NA	NA	NA	NA	NA
Putative RNA-binding protein Luc7-like 2	Luc7l2	Q7TNC4;Q7TNC4-3;E9PZ93;Q7TNC4-2;E9QNA0;Q05CX5;E9PXU4;E9PX54;E9Q715	1423251_at	-0.093830572	-0.046840254	-0.169540231	-0.142740172	0.222666559	0.185129697	0.031090877	-0.086240276	-0.096801582	-0.230940776	-0.214995135	-0.007769594	0.101412397	-0.099093179	0.006883624	-0.027295624
Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain	F2	P19221;CON__P00735	1418897_at	0.329214038	-0.158595552	-0.197362184	-0.086919607	-0.187387707	0.053868048	0.187608569	0.139744326	0.15032093	0.005767868	-0.152507948	-0.051441711	-0.298658316	0.206129081	-0.03040671	0.051294505
Methyltransferase-like protein 7B	Mettl7b	Q9DD20	1416980_at	0.424610211	0.486650752	0.88368848	0.302457457	0.217541109	0.398322498	0.371646329	0.504141137	0.520231375	0.599658815	0.658310221	0.381686157	0.027719078	0.192875928	0.136204241	0.142241894
Retinol dehydrogenase 7	Rdh7	O88451;F6U1Q7;E9QA87	1448723_at	0.381009647	0.34905167	0.559090313	0.310235673	0.117959585	0.287835662	0.430995073	0.425946946	0.39196671	0.63356867	0.39687813	0.403007628	0.061089458	0.122758327	0.274878365	0.290197673
Alpha-1-antitrypsin 1-5	Serpina1e	Q00898	1449321_x_at	2.260774032	1.350301775	1.32814506	1.412961513	1.324527286	2.399882518	2.183506784	2.328362415	1.897812207	1.204233052	0.969904096	1.077893512	1.397296088	1.481122482	1.612460993	1.445912188
Long-chain-fatty-acid--CoA ligase 5	Acsl5	Q8JZR0;Q9D9S0	1428082_at	-0.147697444	-0.389346536	-0.131457785	-0.392866916	-0.612116552	-0.413052429	-0.500496149	-0.252052275	-0.261109529	-0.113033665	-0.348459062	-0.333767192	-0.708231388	-0.459431619	-0.674008609	-0.635615106
Cytochrome P450 2D26	Cyp2d26	Q8CIM7	1448683_at	0.002816002	-0.110363243	0.181934793	-0.144829521	-0.266756562	-0.178873958	0.029661686	0.036096831	-0.009777122	0.169728448	0.038969428	-0.053111336	-0.326767425	-0.20739313	-0.082293836	-0.076969476
Actin-related protein 2/3 complex subunit 4	Arpc4	P59999;E9PWA7	1423589_at	0.153606979	0.028395751	-0.124328135	-0.055195654	0.028248621	0.180135656	0.275943516	-0.109694865	0.051354303	-0.078063256	0.002816002	-0.063502942	0.113317197	0.08136952	0.206062512	0.188726275
Membrane-associated progesterone receptor component 1	Pgrmc1	O55022;Q3TFP8	1423451_at	0.90671027	0.678071905	0.949254536	0.586124338	0.406101287	0.656035106	0.599330922	0.80253716	0.963475567	0.942917164	0.769600213	0.576260493	0.230871482	0.684225119	0.783514093	0.529322581
Beta-galactosidase	Glb1	P23780;E9PVK3;F7AF87	1416205_at	-0.019773069	0.067349168	0.137441489	0.215965126	0.329504067	0.200597657	0.368402095	0.020238029	0.068301816	0.130239119	0.14185982	0.246138779	0.201476616	0.203850822	0.257735033	0.257614296
2-hydroxyacyl-CoA lyase 1	Hacl1	Q9QXE0;D3YZ54;E9PWM4;E9Q9L4;E9Q7H7;E9Q0K0;D6RDE9	1449047_at	-0.21685836	-0.107420059	-0.028710586	-0.193960937	0.054781862	-0.437227739	-0.421909973	-0.165558254	0.002526928	0.024722002	-0.022616379	-0.047817548	-0.330443668	-0.194843512	-0.324349789	-0.188780698
Acetyl-coenzyme A synthetase, cytoplasmic	Acss2	A2AQN4;Q9QXG4;A2AQN5;F7CU63;D6RHA7	1446542_at	-0.791689067	-0.630871383	-0.489029064	-0.685087956	-0.424922088	-1.034497464	-1.246651303	-0.784168921	-0.853516665	-0.577924245	-0.744247224	-0.655626601	-0.920979227	-0.744936067	-1.078336571	-0.823830866
Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase	Fasn	P19096	1423828_at	-1.433333391	-1.43983587	-1.446097392	-1.404630684	-1.619459965	-2.000432744	-1.790772038	-1.667165487	-1.713167903	-1.547449829	-1.736734744	-1.39429462	-1.841208308	-1.701238528	-2.001045575	-1.63343121
Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment	Gm20547;Cfb	B8JJN0;F6VQX8;B8JJM5;P04186;B8JJM6;F6W2T4;B8JJM3;F6WZA2	1417314_at	0.145892613	0.058127461	-0.389566812	-0.221691514	-0.249870047	0.155887565	0.065491047	0.18074057	0.201692292	-0.131326075	-0.209390977	-0.321350901	-0.454175893	0.124094149	-0.076969476	-0.191436315
	Trip11	E9Q512;E9Q4A9	1444042_at	0.031312013	0.02288863	-0.232660757	0.064630777	-0.201884743	-0.00662118	0.120670638	-0.025312343	-0.147957881	-0.214373524	-0.307078739	-0.145612247	-0.086104371	0.082743938	0.123496805	0.115034859
Desmin	Des	P31001	1426731_at	-0.145873062	-0.185486004	-0.632268215	-0.33845294	-0.315218411	-0.224781194	-0.281905924	-0.195977459	-0.178873958	-0.584481522	-0.308360875	-0.418351888	-0.267116262	-0.240497517	0.238306234	0.055471351
Heat shock cognate 71 kDa protein	Hspa8	P63017;Q504P4;D3YW43;D3Z5E2	1420622_a_at	-0.090988888	-0.039699918	-0.144307467	-0.177343788	-0.256044474	-0.024603367	-0.018918982	-0.05004888	-0.097341109	-0.061568849	-0.206893236	-0.137372364	-0.280600049	-0.258699816	-0.09071796	-0.047538389
Histidine--tRNA ligase, cytoplasmic	Hars	Q61035	1417024_at	0.118570303	0.14397842	0.105876837	0.055696255	-0.033792989	-0.020484422	-0.073546061	-0.013497992	0.039888682	-0.009633819	0.01187887	0.058788496	-0.029982866	-0.065434446	-0.055612157	-0.179638435
Filamin-B	Flnb	Q80X90	1426750_at	-0.215616477	-0.214870834	-0.293488202	-0.249627373	-0.212507085	-0.145351386	-0.205267382	-0.137634672	-0.240985904	-0.234378689	-0.282617721	-0.199499604	-0.210139457	-0.219586745	-0.204891925	-0.174917695
Vacuolar protein sorting-associated protein 13C	Vps13c	Q8BX70;Q8BX70-3;E9QLN1;Q8BX70-2;A1ILH0;A1ILH1;A1ILH2	1448011_at	0.228925769	0.259650929	0.146419462	0.101520744	0.124990628	0.039236248	0.003828216	0.048009441	0.127399726	0.172684991	0.213403638	0.206228941	0.012882909	0.035948913	0.180675162	-0.009633819
Protein OS-9	Os9	Q8K2C7;Q8K2C7-2	1426974_at	0.189236104	0.397372093	0.481203034	0.406866176	0.221354055	0.190914882	0.232531641	0.225767463	0.444164217	0.466117749	0.362361934	0.154618343	0.123575389	0.121517907	0.120059031	-0.100708589
	Akr1c20	Q8VC77;Q9CZU0	1425387_at	-0.686074659	-0.373954395	-0.060047384	-0.547745939	-0.539431811	-0.563841479	-0.678973308	-0.80330971	-0.044184258	-0.438825113	-0.062950609	-0.399772661	-0.558365607	-0.579276711	-0.652325868	-0.719490131
Cystathionine beta-synthase	Cbs	Q91WT9;Q91WT9-2;D3YUF2;D3YYN0;D3Z4K2	1423844_s_at	0.312365932	0.182687825	0.302048301	0.208177596	0.155309047	0.158638697	0.08335521	0.130097017	0.332062472	0.195037813	0.293553437	0.140650586	0.136695841	0.102170997	0.155919712	0.089328731
Stomatin-like protein 2	Stoml2	Q99JB2;F6WI02;A2AG39;A2AG41	1448774_at	0.115816291	0.189762569	0.22440157	0.155260848	0.198576426	0.201460027	0.148065106	0.116613787	0.118288401	0.174735383	0.134207847	0.276240502	0.277603926	0.193700692	0.139839695	0.171157228
Nuclear receptor coactivator 2	Ncoa2	Q61026;E9PV80	1435233_at	-0.138945498	-0.137765808	-0.102993993	-0.014926544	0.179040917	0.020823378	-0.115565996	-0.495490511	-0.358621314	-0.011495639	NA	0.445067398	0.261465607	-0.058247217	NA	NA
E3 ubiquitin-protein ligase Praja-1	Pja1	O55176;B1AXU4;B1AXU3;O55176-2;O55176-4;O55176-5	1426449_a_at	NA	0.576238983	1.125069294	0.556329702	1.334934738	0.348280087	0.215898101	0.297856688	0.066971307	0.421051629	1.185867988	0.902308307	0.733579238	NA	NA	-0.010063683
Protein phosphatase 1 regulatory subunit 3B	Ppp1r3b	Q8C767	1436590_at	0.586687552	NA	-0.077106244	-0.488617835	-0.128689329	NA	0.727666202	0.85817487	0.842982168	0.72616189	0.243096272	NA	-1.222186307	0.445990798	0.273970987	0.763611474
Vimentin	Vim	P20152;E9PZV5;G3X981;P15331-2;G5E846;P15331;P15331-3;A2AKJ2	1456292_a_at	-0.229957009	-0.479437533	-0.70540292	-0.413810687	-0.339365461	-0.525868423	-0.220577607	-0.412510571	-0.431248532	-0.66766509	-0.728312379	-0.39758394	-0.297837036	-0.171975377	-0.323197108	-0.226878404
Peroxisomal targeting signal 1 receptor	Pex5	O09012-2;O09012;D3Z600	1422063_a_at	0.007478081	0.229957516	0.044761603	0.142592217	-0.114233744	-0.009633819	-0.00028851	0.128866048	0.045744121	0.194608479	0.142464817	0.155758985	0.06543066	-0.008056555	-0.21971064	-0.016638942
Annexin A2;Annexin	Anxa2	P07356;B0V2N7;B0V2N8;B0V2N5	1437692_x_at	-0.360195695	-0.451646328	-0.614851162	-0.536749206	-0.328262029	-0.516721189	-0.457121458	-0.285698126	-0.546956178	-0.674370254	-0.718087584	-0.564329387	-0.466862004	-0.373174891	-0.39583057	-0.366364183
Myosin phosphatase Rho-interacting protein	Mprip	P97434-2;P97434-5;P97434;P97434-3;Q5SWZ5;F6RND9;F6S5I0;P97434-4;E9PZ80;F6XZM9	1460342_s_at	-0.133037379	0.021643266	0.038924963	0.059119128	0.46697496	0.099262618	0.214441079	0.017066643	0.080576009	-0.100304906	-0.011066201	0.066608654	0.241935657	0.085527322	0.090987319	0.065928925
DNA damage-binding protein 1	Ddb1	Q3U1J4;E9Q4W8;F7ADY1	1415735_at	0.070693769	0.058382825	0.079340831	0.077193227	0.101551702	0.168771307	0.075003223	0.064736397	0.071891234	-0.042924445	0.089159907	0.087794699	0.086844418	0.124911968	0.147665506	0.075915321
UDP-N-acetylhexosamine pyrophosphorylase;UDP-N-acetylgalactosamine pyrophosphorylase;UDP-N-acetylglucosamine pyrophosphorylase	Uap1	Q3UHZ7;Q91YN5;Q91YN5-3;Q91YN5-2	1456516_x_at	0.032108381	0.124046981	-0.055750964	-0.211884402	-0.169411952	0.124377187	-0.042644337	0.055006659	0.027380861	-0.008630305	-0.179128829	-0.133563526	-0.164786278	-0.231309516	-0.045023522	0.009829308
Cytidine monophosphate-N-acetylneuraminic acid hydroxylase	Cmah	Q61419;Q61419-2	1436039_at	0.168982148	0.173433209	0.204415894	0.214005932	0.208194262	0.248553418	-0.025737561	0.003350941	0.168641574	0.221640012	0.060698186	0.342945422	0.199951218	-0.08106688	-0.065296567	-0.061292338
	Spnb3	Q68FG2	1452269_at	0.16836593	0.148832651	0.212851756	0.28822319	0.393804164	0.220278019	0.206295519	0.214441079	0.243591524	0.2927226	0.298282398	0.293659535	0.307126493	0.192051634	0.167814801	0.113925952
Glucokinase regulatory protein	Gckr	Q91X44	1426059_at	-0.480265122	-0.575893165	-0.60928218	-0.560812761	-0.363451457	-0.518837242	-0.468322644	-0.615604626	-0.478091687	-0.682483407	-0.540126488	-0.58265234	-0.40053793	-0.262192588	-0.33330923	-0.378289653
Glycogen phosphorylase, liver form;Phosphorylase	Pygl	Q9ET01;Q3UEJ6	1417741_at	-0.414785006	-0.331131922	-0.317535622	-0.253384236	-0.176960992	-0.38603836	-0.287117636	-0.414135533	-0.429535626	-0.297367523	-0.335597588	-0.220577607	-0.158724796	-0.264356271	-0.293017272	-0.248170473
Peroxisomal acyl-coenzyme A oxidase 1	Acox1	Q9R0H0	1416409_at	-0.045163352	0.170588794	0.094541268	0.049292712	-0.013926706	0.039621742	-0.040962548	-0.01592569	0.080560754	0.290232957	0.156080456	0.182605955	-0.073271836	-0.017066724	0.043824367	0.023959036
Dedicator of cytokinesis protein 8	Dock8	Q8C147;Q8C147-2	1449419_at	NA	NA	NA	NA	NA	NA	-0.45206823	NA	NA	NA	-0.16066208	NA	-0.411643176	NA	NA	-0.336854639
mRNA-decapping enzyme 1A	Dcp1a	Q91YD3	1431933_a_at	-0.22650853	-0.263154625	-0.235236889	-0.2282338	-0.185486004	-0.060739158	-0.228110634	-0.21971064	-0.403813062	-0.311968051	-0.173127433	-0.047119549	-0.21238257	-0.041242982	-0.130403762	-0.211635253
Alpha-2-macroglobulin;Alpha-2-macroglobulin 165 kDa subunit;Alpha-2-macroglobulin 35 kDa subunit	Pzp;A2m	D3YW52;Q61838;D3YUI3	1434719_at	0.224334152	0.0926632	-0.074094354	-0.04879418	0.077451988	0.286392157	0.122774036	0.2562007	0.194624989	-0.002306467	-0.158207748	-0.06681251	-0.18599337	0.368830513	0.025735022	0.142019005
