Gene.names,Classes,Protein.IDs,Protein.names,Half.life.protein,nZT00,nZT03,nZT06,nZT09,nZT12,nZT15,nZT18,nZT21,nZT24,nZT27,nZT30,nZT33,nZT36,nZT39,nZT42,nZT45,nb.timepoints.proteins,rel.amp.protein,Phase.protein,Pvalue.protein,FDR.protein,mRNA.ID,ZT00,ZT02,ZT04,ZT06,ZT08,ZT10,ZT12,ZT14,ZT16,ZT18,ZT20,ZT22,ZT24,ZT26,ZT28,ZT30,ZT32,ZT34,ZT36,ZT38,ZT40,ZT42,ZT44,ZT46,rel.amp.mRNA,Phase.mRNA,Pvalue.mRNA,FDR.mRNA
Tat,4,Q8QZR1;D3Z307,Tyrosine aminotransferase,572.89,1.449335701,-0.548633903,-0.331131922,0.227252864,0.199487286,2.491510497,1.579533767,1.276345335,0.689287619,0.350338559,-0.702391584,0.259720017,0.525641837,1.48681248,0.747705459,1.204399271,16,0.627732956,17.9357111,0.000762575,0.064310492,1451557_at,12.82650263,12.95890768,12.29677011,12.3337902,12.70780303,12.31420823,12.84729871,13.38805453,13.04526107,13.17458288,13.20198784,12.40356835,13.00712406,12.4954995,12.00333238,12.7810258,12.33125434,12.97461491,13.51870676,13.45240311,12.36129613,12.6761938,12.73032459,12.41265408,0.221466151,15.4962365,0.026987842,0.118333528
Snap47,4,Q8R570;Q8R570-2;B2FDF6;B2FDF7,Synaptosomal-associated protein 47,8.8,0.624955006,0.569950288,0.34142746,0.359360564,0.288170339,0.482653749,0.519776246,0.628586111,0.547172656,0.513213558,0.49836214,0.493255897,0.275751382,0.511423295,0.560025872,0.553997919,16,0.084523737,22.37322299,0.000715466,0.064310492,1423745_at,10.38504974,10.14686907,10.31774609,10.16962139,10.06011508,10.05273293,10.28833178,10.01794382,10.38431198,10.35906988,10.31618032,10.11311444,10.34552398,10.28090354,10.3799179,10.23810804,10.29906553,10.45314323,10.21267778,10.3097148,10.17197655,10.35355859,10.40156038,10.35266525,0.037776006,21.43289258,0.28627044,0.51515997
Akr1c14,3,Q91WT7,,NA,0.218078007,0.141414195,0.190832543,0.161169219,0.306948007,0.400872674,0.34963982,0.29390713,0.084104372,0.157399234,0.106094211,0.289686164,0.224586986,0.260307406,0.307804937,0.279423832,16,0.070072698,16.02904485,0.000755333,0.064310492,1418979_at,11.59640322,11.96819025,11.87224378,12.34523542,12.76689173,12.654565,12.74890558,12.59056224,12.27849817,12.57418292,11.77654743,11.81756646,12.04845425,12.27290718,12.29358519,12.4826856,12.65378341,12.43068177,12.73162995,12.71903676,12.5289858,12.56776043,12.66457165,11.92373728,0.25545538,11.90618651,2.64E-05,0.000851765
Plin2,3,P43883;B1AXR5;B1AXR3,Perilipin-2,NA,-2.319791325,-1.286112294,-1.488000771,-2.187672746,-2.660814555,-2.534260856,-2.638212885,-2.110162762,-2.103799743,-1.451962766,-1.905312386,-1.793771059,-2.729661526,-2.100641316,-2.822057073,-2.488746356,16,0.384919708,4.26965209,0.000831004,0.068020122,1448318_at,12.49612307,12.67933356,12.7417169,12.63233196,12.22910333,12.39599846,11.71704635,11.90064585,12.13175021,12.32854907,12.904768,12.67033035,12.71685767,12.71848948,12.88206074,12.47232609,12.51629885,12.27498861,12.070036,12.11338563,12.24965496,12.33786728,12.57217709,12.58319003,0.236676557,1.152784153,1.28E-06,9.61E-05
Tm9sf2,4,E9Q0K1;P58021;E9PZ69,Transmembrane 9 superfamily member 2,23.77,0.127242146,-0.066123642,-0.02672925,-0.103128316,0.039280723,0.093571141,0.151987064,0.112225204,0.137695415,-0.096531743,-0.082975027,-0.165172318,0.100747015,0.1827697,0.262763205,-0.019630756,16,0.094438446,18.24384962,0.000958728,0.072111893,1423295_at,9.112766926,9.28501765,9.353614711,9.249547365,9.323353386,9.350071358,9.339085767,9.555898448,9.312095832,9.43207371,9.380398508,9.099027889,8.888672228,9.366826338,9.227613656,9.178715763,9.441500294,9.167860705,9.361750697,9.436764952,9.552201789,9.550630312,9.731583788,9.434274127,0.092148567,15.56026274,0.026614396,0.117260186
Col4a2,4,P08122;D3YV27,Collagen alpha-2(IV) chain;Canstatin,3.83,-0.39462389,-0.388024176,-0.489542936,-0.941782416,-0.812292845,-0.404794153,-0.290542363,0.213721484,-0.207767938,-0.532067552,-0.987320866,-0.729444007,-0.869239719,-0.609187605,-0.638120188,-0.319271091,16,0.244402512,21.65349774,0.000950012,0.072111893,1424051_at,7.809316181,8.001925589,7.993135385,8.01131833,7.767542386,7.853663938,7.485024674,7.523781437,7.774316157,7.267833182,8.021137809,7.69629591,8.075750175,8.376254721,8.466132769,8.293432567,8.164840363,8.401249022,8.47589083,8.442470965,8.352350001,7.445968369,7.739478414,7.902537853,0.136358335,6.307791388,0.103676201,0.284484499
Cyp4f14,4,Q9EP75;G3UW81,Leukotriene-B4 omega-hydroxylase 3,NA,0.295676895,0.119792514,0.39215603,0.046027092,-0.232906301,-0.118492626,0.022068034,-0.107420059,0.271217453,0.294986428,0.135617712,0.140634682,-0.014498127,-0.161565256,0.033097079,-0.029841557,16,0.140055713,3.195743902,0.000952769,0.072111893,1419559_at,11.63176109,11.52940405,11.73967853,11.69099538,11.63056666,11.46947235,11.684984,11.54349735,11.60012315,11.40193851,11.62485544,11.94593426,11.72743044,11.8571517,11.74595634,11.76328758,11.61766162,11.72512198,11.72074941,11.77052729,11.61519695,11.49337553,11.24959369,11.47916832,0.057593263,5.400728202,0.13505073,0.333548161
Acly,3,Q3V117;Q91V92;Q3TS02,ATP-citrate synthase,79.8,-1.381947801,-1.372673558,-1.440580184,-1.459116814,-1.586164246,-1.876801774,-1.916476644,-1.706154773,-1.70230292,-1.501617481,-1.68036937,-1.423094054,-1.800289051,-1.798672679,-2.113967146,-1.70137162,16,0.160963774,4.995675696,0.000985139,0.072148469,1439459_x_at,12.30855889,12.18240216,11.82804864,11.65535274,11.59225659,11.64511678,11.81652739,13.30659633,11.83616045,12.25114073,12.86654026,11.86915792,11.87242932,11.8895247,11.46496562,11.43170963,11.83830715,12.27290717,12.50226078,12.86922261,12.45087343,12.10145332,11.96967986,12.28348513,0.295025064,16.73569459,0.006870486,0.045652628
Kalrn,3,A2CG49-7;A2CG49;E9QN83;A2CG49-2;F6QYT9;A2CG49-8;A2CG49-9;B1B1A7;Q0KL02-2;E9QL39;D3Z4R2;A2CG49-5;D3Z559;D3Z560;D3Z535;D3Z532;A2CG49-6;E9QN03;D3Z534;A2CG49-4,Kalirin,NA,NA,NA,-0.429642743,-0.241474126,0.045118805,0.688450384,-0.011638756,NA,-0.551196067,NA,-0.919454502,-0.374177033,0.145972426,NA,0.265049815,-0.125386605,11,0.436486215,15.41601179,0.000698184,0.078894792,1442554_s_at,6.830275406,6.883643796,7.00581968,6.756066856,7.071212305,7.112953591,6.870903506,7.267448788,7.253511456,7.036301257,6.482644888,6.752941959,6.531042417,6.254386367,6.609762737,6.876941576,7.38940999,7.127212539,7.088618421,7.527959023,7.345792348,7.375114913,6.942252088,7.041912312,0.206906164,13.4224437,0.000669436,0.008507256
S100a9,3,P31725,Protein S100-A9,NA,1.491388804,1.631600402,0.850506492,0.266229182,-0.429642743,-1.48707468,-0.856706881,-0.156008221,0.753044735,1.174947098,0.568024098,-0.075053365,-0.485220713,0.59278867,0.050621951,-0.199122642,16,0.624967678,2.941693556,0.001144431,0.081665422,1448756_at,8.506476349,8.310339421,7.075495572,6.054253833,6.298010126,5.887729705,6.215164167,5.003938218,7.951180697,7.724468046,8.581971168,7.040170228,6.324378233,6.058893311,5.992573305,6.210915948,6.617444867,5.84439154,4.758334024,5.189473006,6.066717602,6.554836114,7.357105456,6.654557528,0.642371677,22.46203254,0.004231845,0.032272646
Tubb2a;Tubb2b,3,Q7TMM9;Q9CWF2,Tubulin beta-2A chain;Tubulin beta-2B chain,649.84,-0.655901322,-0.59664896,-0.63747114,-0.640713465,-0.700262145,-0.911729925,-0.907736729,-0.82317869,-0.646899949,-0.650396947,-0.645517218,-0.73430859,-0.620961697,-0.736128588,-0.89437155,-0.725173999,16,0.079544939,5.268834096,0.001177653,0.081935207,1427838_at,6.610063736,6.367313143,6.430470671,5.823259396,5.295375228,5.57278909,5.598071477,5.8417143,5.608931127,6.05369791,6.747680473,7.058999263,6.863433952,6.542146431,6.209246023,6.053583754,5.261633509,5.594804802,5.57980444,6.120484167,5.997557209,6.675070921,6.717014171,7.266959125,0.496471995,22.36009205,4.93E-09,2.00E-06
Golgb1,3,E9PVZ8;E9QAH1;B7ZNF9;Q9CTU9;E9Q028,,52.13,0.108363064,0.049889971,-0.018776585,0.059043978,0.153061458,0.213186205,0.193783195,0.233413319,0.027439676,-0.021479727,0.083064823,0.052326363,0.201128285,0.09571245,0.151378061,0.150705252,16,0.061075845,16.77183892,0.001234442,0.083791514,1435032_at,7.919499429,8.291699252,8.154062907,8.323334285,8.346474614,8.435762753,8.162612216,8.016680752,8.328951542,7.786346505,8.197318101,7.933298419,8.268639773,8.224033479,8.304946679,8.507663201,8.571816195,8.664738273,8.079710804,8.202955696,8.11850302,7.988797884,8.229026823,8.09088659,0.139751432,7.600461081,0.001344429,0.014307483
Serpinc1,4,P32261,Antithrombin-III,NA,-0.04082231,-0.157431827,-0.171078696,-0.140124224,-0.055473336,-0.004465437,-0.012783185,-0.00992041,-0.035905384,-0.173127433,-0.230448976,-0.135928816,-0.211635253,-0.043904394,-0.103262627,0.080606521,16,0.066586572,19.1941659,0.001278372,0.084707364,1417909_at,14.2632317,14.18468064,14.22899766,14.22406892,14.22849419,14.23764063,14.2345673,14.19355298,14.23577115,14.17773805,14.20942294,14.19400998,14.19238843,14.2120642,14.17435561,14.20914809,14.19957177,14.15723195,14.19912603,14.18420279,14.16188581,14.15541366,14.23073996,14.1652053,0.007051381,5.489309289,0.496385011,0.694335527
Safb,4,D3YXK2;E9PZM6,Scaffold attachment factor B1,57.82,0.074714512,-0.618802465,-0.750263476,-0.236462004,-0.079429315,0.012446284,0.090157786,-0.069014678,-0.100035721,-0.436588294,-0.163627539,-0.271067049,-0.053806444,-0.075601085,0.196326583,0.259012014,16,0.197494162,17.83986116,0.001455164,0.092039123,1454415_at,4.265792669,4.284266772,4.520842829,4.353204701,4.360744569,4.22324285,4.197205658,4.384825035,4.310802839,4.493789584,4.294667776,4.668664228,4.71524977,4.33884086,4.568688106,4.461804728,4.350283978,4.62594333,4.401408126,4.287691867,4.245099637,4.510344235,4.62259414,4.574653272,0.063036928,23.53932069,0.131372303,0.327902785
Parp1,4,Q921K2;P11103;P11103-2,Poly [ADP-ribose] polymerase 1,61.275,-0.18142064,-0.110229592,-0.043344505,-0.175045486,0.000245279,-0.210014738,-0.44763209,-0.168770384,-0.353436218,0.00131345,-0.020911066,-0.092207438,-0.092883966,-0.370052656,-0.358846331,-0.405774578,16,0.113232082,6.944604616,0.001431585,0.092039123,1435368_a_at,7.973491154,7.983069682,8.125989065,8.249718227,8.317055457,8.001304641,8.03668004,8.422318753,8.265662985,7.989654188,8.023119538,7.43088121,7.576271497,8.112201419,7.847941417,7.766808593,7.955596163,7.809974714,8.071198106,8.159903972,8.155263467,8.199617782,8.204029885,8.304351943,0.080683716,13.95535988,0.189997559,0.40988722
Igfbp7,4,E9Q5D9;F8WH23;Q61581;F8WII5,Insulin-like growth factor-binding protein 7,1.02,-0.499067738,-0.246712101,-0.311386858,-0.224040274,-0.370499103,-0.630871383,-0.624615633,-0.481505617,-0.641546029,-0.209890007,-0.355467388,-0.463099267,-0.545474211,-0.784922702,-0.579952469,-0.546561136,16,0.128143995,5.446717874,0.001523386,0.094212961,1423585_at,5.463999648,5.242684021,5.488559137,5.507422204,5.519843216,5.595137915,5.33885595,5.314369474,5.462449641,5.323699158,5.413564605,5.4756551,5.101990095,5.536655235,5.486137377,5.544678434,5.508819081,5.066464069,5.112265139,5.445486274,5.184675621,5.277018962,5.286824779,5.461855896,0.056920204,4.495575685,0.196852686,0.418233136
Gm20425,4,E9Q035;F7BAE9;F7CJN9;P47758;E9Q2Q7;E9Q939,,NA,0.422945868,-0.195347598,-0.195851509,-0.156914315,-0.311386858,0.175712786,0.138330425,0.321585495,0.279441342,0.021599332,-0.265796925,-0.131852846,-0.460585313,0.294207837,-0.012926174,0.210462703,16,0.194982904,20.97276095,0.001715778,0.100015454,1421012_at,7.191904924,7.248159141,7.119668984,6.567980215,7.247479584,7.255625069,7.207868176,7.733426346,7.313350505,7.166925337,6.978446106,7.252108338,7.448001055,7.398415127,6.874028916,7.124645576,7.198278956,7.076730804,7.672323082,7.661559974,7.55041264,7.388051818,7.275798819,7.233984169,0.132922466,15.72810194,0.027383681,0.119592466
Apoe,4,P08226;G3UWN5;E9Q327;G3UZM8,Apolipoprotein E,NA,0.165741846,-0.024603367,-0.028427705,-0.059078342,-0.191688976,0.193931711,0.118538978,0.16980959,0.054437241,0.02488345,0.00429118,-0.078063256,-0.024177814,0.170215373,0.172668729,0.097208629,16,0.084093839,19.89467791,0.0017969,0.100015454,1432466_a_at,14.50515791,14.48875637,14.53409659,14.59090298,14.54179386,14.55231182,14.56474368,14.54194861,14.47156125,14.50140515,14.54567004,14.59673146,14.53261701,14.51710124,14.52292436,14.59792109,14.56962284,14.58563897,14.46983319,14.49818132,14.4593333,14.59123854,14.53244849,14.51495995,0.013212408,6.04661308,0.288734845,0.517556148
Mug1,3,P28665,Murinoglobulin-1,NA,0.207511093,0.084471451,0.231752145,0.258925696,0.321224952,0.490314291,0.360638162,0.370526803,0.252724325,0.196524957,0.301319222,0.144345111,0.326913998,0.419873816,0.326606397,0.238510466,16,0.07749432,15.78640681,0.001770394,0.100015454,1417835_at,13.30946115,13.4343486,13.27294065,13.38023863,13.35083543,13.40304101,13.25475992,13.33144667,12.97689189,13.37799305,13.2861267,13.35659343,13.55705943,13.63112318,13.6045387,13.56461966,13.38601703,13.48796918,13.00453834,13.25839416,12.92607729,13.33549916,13.42344435,13.22557907,0.108526829,3.372695555,0.003690267,0.029250396
Fgf1,3,P61148;D3Z6E2;D6RCX9;D3Z6H1;D3Z192,Fibroblast growth factor 1,NA,-0.076832696,-0.340619235,-0.462157048,-0.408277085,-0.470927257,-0.56315813,-0.25386828,-0.196732928,-0.409037857,-0.466548817,-0.476848252,-0.63236129,-0.542109438,-0.322505058,-0.082838815,0.102713099,16,0.156908475,21.05551841,0.001734227,0.100015454,1423136_at,9.700922429,9.2555152,9.30146169,9.357745745,9.415019569,9.431556993,9.561359205,9.70942059,10.06109813,9.913671556,9.741841383,9.5439113,9.371495214,9.33258684,9.372515253,9.27186977,9.586463135,9.700842775,10.0917114,9.974380339,9.880181342,10.09411361,9.800488845,9.569056639,0.23085226,16.08400136,2.08E-07,2.61E-05
Htatip2,4,Q99KN6;Q9Z2G9;Q9Z2G9-2,Oxidoreductase HTATIP2,162.41,0.526514385,0.633412005,0.655398717,0.465519997,0.408358877,0.402073197,0.303543174,0.359971448,0.384244728,0.813778373,0.500013836,0.420800539,0.327040677,0.396631212,0.320540169,0.425539983,16,0.108019067,4.137836308,0.001770354,0.100015454,1451814_a_at,9.556709784,9.290539369,9.437464591,9.674205567,9.494480022,9.605108947,9.848476402,9.539349553,9.831384195,9.261565589,9.765419957,10.04326613,9.44845668,9.586568796,9.434327225,9.669799584,9.440478785,9.355543185,9.920072001,9.579908468,10.37471793,10.0427095,9.630451071,9.692643858,0.137956974,16.6636077,0.054139063,0.187911797
Ubxn7,4,G5E8R8;Q6P5G6,UBX domain-containing protein 7,17.02,-0.054779032,-0.19761381,-0.188274311,-0.237318966,-0.130271955,0.080835378,0.109654484,-0.086376168,-0.282617721,-0.260868739,-0.100439479,-0.167871708,-0.138552375,0.055051623,-0.036186803,0.048695699,16,0.093764756,17.17398216,0.002023591,0.110424583,1435912_at,6.966091508,6.36116396,6.494255576,6.770686224,6.881952128,7.142374602,6.44061472,6.743772422,6.436331079,6.639712806,5.682192435,6.7488186,6.417221363,6.40565751,6.629628564,6.57814673,7.067948628,6.745025943,6.654344451,6.685423837,6.863239615,6.380683101,6.591229065,6.5660996,0.126705279,9.143801643,0.065444369,0.212844994
Rps6;Rps6-ps1,3,P62754;D3Z6N6,40S ribosomal protein S6,51.11,0.253635633,-0.09044698,0.010846457,0.007043089,-0.164013889,0.598347691,0.297768015,0.391493519,0.171790891,0.066714419,-0.01678155,0.067696888,0.025720336,0.393463017,0.316168826,0.279984265,16,0.156435302,18.5763375,0.002103985,0.112603659,1437246_x_at,10.73501641,10.72346485,10.61554003,10.55434419,10.68661744,10.67305371,10.74246161,10.79995666,10.72912723,10.72969709,10.82174374,10.64602424,10.70428133,10.6377002,10.62500357,10.70818309,10.69517641,10.64358836,10.64368272,10.71072025,10.80781181,10.89291911,10.93029635,10.83377844,0.064337483,18.35483773,0.000326033,0.00519958
Gns,3,Q8BFR4,N-acetylglucosamine-6-sulfatase,207.28,0.064042467,0.149664618,-0.109694865,0.104154531,0.257355608,0.349014918,0.294720952,0.20769435,0.075960941,0.164269915,0.075443998,0.305574411,0.411828669,0.280194483,0.339509432,0.301425893,16,0.100606893,15.64424458,0.00219078,0.115036618,1446861_at,5.936381933,6.73219564,6.955370533,7.251870041,6.986735286,7.167213277,6.660841153,6.589658264,6.284500853,6.026400264,6.576891433,6.135293819,6.851118094,6.812427806,7.346337044,6.939503932,6.88466434,6.864907985,6.340342946,6.223103364,6.784201804,5.884051518,6.155099184,6.169598027,0.320894321,6.698328175,2.49E-05,0.000820343
Ywhab,3,Q9CQV8;Q9CQV8-2;A2A5N1,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",71.39,-0.081748651,-0.078063256,-0.137896932,-0.095586908,-0.087055435,-0.053667449,-0.046141782,-0.022474347,-0.117296086,-0.131457785,-0.110363243,-0.175045486,-0.030971642,-0.081612323,-0.008056555,-0.038436182,16,0.034180378,18.1429266,0.002264869,0.116724638,1420879_a_at,9.961493108,9.941797731,9.903356748,9.917477564,9.972803991,10.05391986,10.28231611,10.20801459,10.24604442,10.08211239,10.23010186,10.23456196,9.961493108,10.05212347,10.0881077,10.12264229,10.03363025,10.21393566,10.2619114,10.17796468,10.25518594,10.18556885,10.05885414,10.15787083,0.08688678,15.36594966,0.000174877,0.003320904
Hrg,4,Q9ESB3,Histidine-rich glycoprotein,NA,-0.243303487,-0.159112461,-0.208017755,-0.097880434,0.121000072,0.254650785,0.098273867,-0.256527627,-0.166586914,-0.159370847,-0.079292767,-0.16542962,-0.005902957,0.283193431,-0.02034218,0.155566137,16,0.132614929,15.12692863,0.002440048,0.123466429,1449242_s_at,13.40796342,13.26645385,13.24259309,13.28398368,13.32222213,13.36768464,13.35894373,13.36400602,13.36309202,13.32847162,13.39468969,13.38796867,13.33019361,13.34868903,13.44682651,13.37031558,13.48951818,13.42205734,13.05745683,13.19910249,13.09223535,13.25118745,13.31584553,13.15472568,0.031361848,4.461027892,0.331784665,0.559451116
Adck3,3,Q60936;F7B1B6;Q60936-2;E0CXR1;E0CYC1;E0CXR6;E0CXT4;E0CZ05;E0CYG7;E0CYT4;E0CYD3;F6T0A8;E0CXI5,"Chaperone activity of bc1 complex-like, mitochondrial",NA,0.052520854,-0.056444801,0.074805678,0.159121894,0.181329378,-0.254473108,-0.363339312,-0.187261005,-0.057415612,0.129244696,0.090311368,0.308483701,0.068816206,-0.058801354,-0.10191896,-0.028144768,16,0.125090773,7.236172144,0.002517867,0.125128998,1417066_at,11.24858734,10.99242423,11.17789484,11.00550965,10.07218201,9.748468077,9.429490677,9.7732172,10.03809354,10.33500653,10.91118811,10.95286574,11.24508577,11.10974287,10.69166299,11.00469998,9.942318976,9.894386749,9.679676712,9.767804064,10.29425461,10.53012637,10.73398952,10.80278621,0.488564687,0.542122004,1.73E-10,2.52E-07
Tor1aip2,3,Q8BYU6,Torsin-1A-interacting protein 2,NA,0.556775289,0.476498262,0.609706517,0.432220936,0.253721635,0.403560944,0.460945439,0.542815489,0.532470092,0.593942312,0.611733301,0.37300959,0.171433406,0.365759898,0.359416088,0.353450218,16,0.093344799,2.01857533,0.002688711,0.131275135,1418115_s_at,10.70292768,10.66918707,10.77129603,10.54512091,10.41982488,10.20923413,10.50362627,10.41184178,10.60082277,10.66700749,10.78438335,10.7722472,10.95390663,10.74494777,10.65396529,10.77649701,10.39862124,10.45728178,10.46445742,10.42208321,10.56374623,10.31658123,10.44671839,10.66522765,0.127644917,0.193034429,0.000247464,0.004268023
Man2a1,3,P27046;F6QMB7;Q8BRK9;Q8BRK9-2;Q9WU23,Alpha-mannosidase 2,26.55,0.236469445,0.021467537,0.051802865,-0.099093179,-0.112233058,0.157817635,0.06087876,0.152676508,0.232785916,0.029735321,-0.074231394,-0.065572312,-0.204265945,0.151169777,0.044925309,0.094187019,16,0.092152626,21.7386731,0.002906414,0.139457761,1448647_at,10.46311425,10.31322232,10.2706936,10.30755338,10.67925756,10.6050726,10.77587586,10.78352228,10.71419181,10.6735621,10.25722239,10.34243574,10.11863494,10.27339166,10.37190335,10.31829856,10.76259405,10.72186906,10.52649128,10.59878217,10.50312009,10.47360314,10.52549707,10.16038375,0.159027785,12.59994934,1.11E-05,0.000465914
Apoa5,3,Q8C7G5,Apolipoprotein A-V,NA,-0.412402175,-0.50650039,-0.301119353,-0.258940968,-0.114367025,-0.179638435,-0.098015234,-0.181547856,-0.238909117,-0.333080194,-0.437334286,-0.415974946,-0.073820233,-0.239398042,0.045773905,-0.341302653,16,0.110561091,15.94012308,0.003008515,0.141910123,1417610_at,12.9170946,12.71243244,12.95991615,12.9382209,13.2118326,13.25062632,13.1980376,13.2228282,13.28051623,13.01848193,12.73810926,13.08612084,13.03327376,13.09274637,13.01491827,12.93434881,13.175126,13.28446109,13.2211358,13.09691144,13.11599391,13.18870263,13.24988064,13.00896605,0.099204023,12.86187025,0.002388348,0.021508961
Ctsl1,4,P06797;E9Q6H1,Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain,1.13,0.182000258,0.249513546,0.321729738,0.438776524,0.227371086,-0.132379425,-0.329525485,-0.041663532,0.256700472,-0.044324169,0.318002098,0.179465642,0.401006016,0.150625176,-0.476433536,-0.10259095,16,0.18007825,7.049306278,0.003284212,0.142811906,1451310_a_at,13.35084242,13.3378189,13.21394697,13.30596079,13.106882,13.18438072,13.18564773,13.13638092,13.15569239,13.10836293,13.26538807,13.1051226,13.18263142,13.20106255,13.18104447,13.24866688,13.23074093,13.12168368,12.9588771,13.05695254,13.04065847,12.79949559,13.03184444,12.97019681,0.072437494,4.238279748,0.00873872,0.054242363
